,Count,YYYYMM,DAY
1,1302,201906,28
2,1299,201906,27
3,1298,201906,25
4,1294,201907,9
5,1293,201907,19
6,1292,201907,24
7,1291,201907,10
8,1289,201908,15
9,1287,201906,21
10,1287,201908,23
11,1286,201907,15
12,1286,201908,2
13,1286,201908,9
14,1286,201908,28
15,1285,201906,16
16,1285,201907,8
17,1285,201907,26
18,1285,201907,30
19,1281,201907,12
20,1281,201908,14
21,1280,201908,29
22,1278,201908,27
23,1277,201906,24
24,1277,201908,22
25,1276,201908,16
26,1276,201908,30
27,1275,201908,11
28,1274,201907,14
29,1274,201907,18
30,1274,201907,25
,1274,201908,4
,1273,201907,16
,1273,201907,28
,1272,201906,17
,1272,201906,26
,1272,201908,13
,1271,201908,25
,1270,201907,29
,1270,201908,1
,1270,201908,12
,1270,201908,26
,1268,201906,14
,1267,201908,5
,1266,201907,21
,1265,201905,2
,1264,201906,20
,1261,201906,13
,1260,201907,7
,1259,201906,19
,1259,201906,23
,1255,201905,10
,1255,201907,23
,1253,201903,15
,1252,201905,24
,1250,201903,8
,1250,201906,18
,1249,201904,25
,1247,201908,20
,1246,201905,20
,1246,201906,3
,1246,201906,7
,1245,201912,20
,1244,201906,6
,1244,201908,19
,1244,201907,20
,1243,201905,17
,1240,201905,9
,1240,201905,23
,1240,201907,13
,1239,201903,29
,1239,201906,22
,1238,201906,30
,1237,201904,12
,1237,201904,29
,1237,201905,13
,1236,201903,7
,1236,201904,11
,1236,201905,31
,1236,201907,27
,1235,201903,14
,1235,201907,3
,1235,201908,10
,1234,201903,11
,1234,201904,28
,1233,201902,22
,1233,201905,1
,1233,201905,30
,1232,201903,18
,1231,201904,4
,1231,201904,5
,1231,201904,18
,1231,201906,12
,1231,201912,21
,1230,201908,3
,1229,201901,2
,1229,201901,7
,1229,201903,22
,1229,201904,10
,1229,201908,8
,1227,201902,15
,1227,201903,13
,1227,201905,16
,1226,201903,21
,1226,201905,6
,1225,201903,6
,1225,201903,28
,1225,201904,8
,1225,201909,12
,1223,201903,25
,1223,201904,22
,1223,201904,24
,1223,201908,6
,1223,201906,15
,1223,201908,17
,1223,201908,24
,1222,201902,21
,1222,201904,1
,1222,201904,17
,1221,201903,20
,1221,201905,3
,1220,201909,19
,1220,201912,22
,1219,201903,1
,1218,201903,10
,1218,201909,22
,1218,201909,26
,1217,201903,17
,1216,201902,28
,1215,201907,1
,1214,201903,24
,1214,201906,11
,1214,201912,1
,1213,201902,14
,1212,201901,6
,1212,201903,27
,1212,201903,31
,1212,201905,8
,1212,201909,23
,1212,202003,12
,1211,201904,7
,1211,201905,22
,1211,201909,20
,1211,202001,6
,1210,201905,5
,1208,201901,11
,1208,201909,16
