ETMS_EQPT,T_WHLS_ON
CRJ9,0:01
B738,0:02
B752,0:08
E190,0:08
A320,0:18
A321,0:19
B738,0:20
B738,0:21
A21N,0:23
B738,0:25
B739,0:25
B739,0:27
A321,0:27
A321,0:29
A321,0:29
B738,0:31
B752,0:32
B764,0:32
B738,0:33
B739,0:34
B739,0:35
A320,0:38
A321,0:40
B739,0:41
B739,0:43
A321,0:44
E190,0:46
B739,0:54
B739,0:57
B752,1:06
A321,1:09
A321,1:09
B744,1:10
B763,1:14
A321,1:14
B738,1:32
B789,2:08
A319,2:11
A321,2:34
E190,3:02
E190,3:04
B738,3:18
A320,3:21
A333,3:30
A320,4:42
B789,4:50
MD11,4:55
A321,4:56
A333,5:07
B763,5:11
B739,5:24
B739,5:27
B739,5:29
B738,5:30
B738,5:32
A319,5:33
A320,5:35
B763,5:36
B738,5:38
A321,5:40
B738,5:41
A321,5:45
B752,5:47
B763,5:49
A306,5:53
B763,5:59
E190,6:06
B739,6:09
B77W,6:10
B738,6:13
B763,6:15
A321,6:16
B752,6:19
B752,6:21
B738,6:24
E190,6:26
A321,6:28
E190,6:28
E190,6:30
B752,6:32
B788,6:32
CRJ9,6:35
A321,6:36
E190,6:37
B772,6:40
E190,6:40
B739,6:43
B712,6:44
B739,6:46
A321,6:48
CRJ9,6:49
A321,6:50
B739,6:52
A320,6:53
CRJ9,6:55
B739,6:56
CRJ2,6:58
A321,6:58
CRJ2,7:01
CRJ9,7:03
A320,7:04
A321,7:06
B752,7:09
B752,7:10
A332,7:11
B763,7:13
CRJ9,7:15
A321,7:16
CRJ9,7:17
B738,7:19
A321,7:21
B788,7:24
CRJ9,7:28
A321,7:29
E135,7:31
A320,7:33
B739,7:38
A321,7:40
A320,7:44
A320,7:47
A320,7:49
CRJ9,7:55
A320,7:57
CRJ9,7:59
E190,8:01
B764,8:03
A320,8:06
B752,8:10
B739,8:12
A321,8:16
E190,8:18
A321,8:19
A320,8:21
CRJ9,8:23
A320,8:24
A320,8:26
B77W,8:27
E75L,8:30
A320,8:31
E170,8:31
E190,8:33
A320,8:33
CRJ2,8:34
A321,8:36
A321,8:40
CRJ9,8:41
A333,8:43
CRJ9,8:45
CRJ9,8:47
CRJ9,8:49
A321,8:50
A35K,8:52
CRJ2,8:56
A321,8:58
A332,9:00
CRJ2,9:05
A321,9:07
A320,9:09
B789,9:10
B738,9:14
A320,9:15
B350,9:17
A321,9:18
E135,9:20
A320,9:21
B739,9:23
E190,9:30
E135,9:32
B738,9:37
E190,9:38
A321,9:40
A321,9:47
A320,9:49
B77W,9:50
CRJ2,9:53
CRJ9,9:55
A320,9:58
A321,10:00
A320,10:02
A321,10:04
A321,10:06
B752,10:09
E190,10:10
CRJ9,10:17
A320,10:22
B752,10:27
E75L,10:30
A319,10:32
B712,10:36
CRJ9,10:40
A320,10:46
CRJ2,10:48
A333,10:49
    ,10:50
E190,10:52
B788,10:55
A321,10:57
E135,10:59
B77W,11:00
A320,11:02
A388,11:03
B744,11:06
CRJ9,11:09
B789,11:12
A388,11:15
B772,11:17
A320,11:19
B77W,11:20
E190,11:24
B763,11:25
B752,11:28
CRJ9,11:31
A333,11:33
E190,11:37
B739,11:40
B764,11:46
BCS1,11:48
A333,11:50
B77W,11:52
B738,11:55
A332,11:57
CRJ9,11:59
B738,12:00
CRJ9,12:02
E190,12:04
A321,12:05
B744,12:12
B77W,12:17
A319,12:20
CRJ9,12:21
A320,12:23
B772,12:26
B712,12:28
CRJ2,12:29
A320,12:31
CRJ9,12:33
A320,12:34
A320,12:35
B752,12:36
A332,12:38
A320,12:40
B738,12:41
A333,12:42
B738,12:42
B772,12:45
E145,12:48
CRJ9,12:50
CRJ9,12:53
E190,12:57
B789,12:58
A321,13:01
A333,13:02
CRJ2,13:04
A320,13:05
A333,13:08
B712,13:10
B763,13:12
CRJ2,13:13
A320,13:16
B763,13:19
B738,13:21
B772,13:22
A388,13:24
CRJ2,13:25
A321,13:27
B789,13:27
E135,13:29
A332,13:30
B712,13:33
A333,13:33
E190,13:34
B739,13:35
E190,13:36
A320,13:37
E75L,13:39
E75L,13:40
A321,13:41
A332,13:42
A321,13:43
CRJ9,13:44
CRJ2,13:45
A321,13:46
B77W,13:47
A320,13:49
B739,13:50
B738,13:51
B763,13:53
E170,13:53
A321,13:54
A319,13:56
A321,13:57
A320,13:57
B748,13:58
A332,14:00
CRJ9,14:01
E190,14:02
B772,14:04
A320,14:04
E135,14:05
B738,14:06
A359,14:08
A321,14:08
A320,14:09
A320,14:10
B772,14:11
E75S,14:12
B739,14:13
E190,14:15
E170,14:16
A320,14:17
A321,14:18
B772,14:19
A321,14:22
A333,14:23
A320,14:24
CRJ9,14:26
E190,14:30
A319,14:32
LJ35,14:32
B763,14:34
A388,14:35
B763,14:38
E75L,14:38
A320,14:40
E190,14:41
A333,14:43
B752,14:45
E135,14:47
CRJ9,14:49
B764,14:50
E135,14:52
A319,14:53
A320,14:55
B77W,14:57
A321,15:00
B789,15:02
B738,15:05
B752,15:08
CRJ9,15:08
CRJ9,15:09
E190,15:11
A320,15:12
A320,15:13
B764,15:16
B77W,15:17
A346,15:19
A320,15:21
B752,15:23
B712,15:24
CRJ9,15:25
CRJ9,15:26
B739,15:28
A333,15:28
A321,15:31
E135,15:32
E145,15:34
B752,15:36
B738,15:37
B77W,15:39
B763,15:40
A320,15:41
B752,15:43
B739,15:44
B738,15:45
CRJ9,15:47
A332,15:48
B738,15:49
B738,15:50
A333,15:52
E55P,15:53
E135,15:54
E190,15:55
B739,15:57
CRJ2,15:57
E190,15:59
E135,16:00
A333,16:01
B772,16:03
CRJ9,16:05
A320,16:05
B764,16:07
B739,16:09
A333,16:10
A321,16:13
A332,16:15
A321,16:17
A333,16:19
B763,16:22
A320,16:23
B752,16:24
B752,16:26
A388,16:27
A343,16:29
B772,16:31
A321,16:31
B764,16:34
B739,16:34
B350,16:35
CRJ2,16:37
E190,16:38
B737,16:38
A321,16:39
A321,16:41
A320,16:43
B744,16:44
A333,16:46
B789,16:47
B77W,16:49
B752,16:52
B77W,17:00
A320,17:02
B77W,17:04
B739,17:06
A321,17:07
B739,17:13
A320,17:15
A333,17:18
A320,17:20
B738,17:22
A333,17:24
A321,17:26
B772,17:28
B739,17:30
B738,17:31
A332,17:33
A346,17:33
E190,17:35
B739,17:36
B738,17:37
BCS1,17:38
CRJ9,17:39
B744,17:39
B738,17:41
