ETMS_EQPT,T_WHLS_ON,FAA_Weight_Class
CRJ9,0:01,M
B738,0:02,M
B752,0:08,H
E190,0:08,M
A320,0:18,M
A321,0:19,M
B738,0:20,M
B738,0:21,M
A21N,0:23,M
B738,0:25,M
B739,0:25,M
B739,0:27,M
A321,0:27,M
A321,0:29,M
A321,0:29,M
B738,0:31,M
B752,0:32,H
B764,0:32,H
B738,0:33,M
B739,0:34,M
B739,0:35,M
A320,0:38,M
A321,0:40,M
B739,0:41,M
B739,0:43,M
A321,0:44,M
E190,0:46,M
B739,0:54,M
B739,0:57,M
B752,1:06,H
A321,1:09,M
A321,1:09,M
B744,1:10,H
B763,1:14,H
A321,1:14,M
B738,1:32,M
B789,2:08,H
A319,2:11,M
A321,2:34,M
E190,3:02,M
E190,3:04,M
B738,3:18,M
A320,3:21,M
A333,3:30,H
A320,4:42,M
B789,4:50,H
MD11,4:55,H
A321,4:56,M
A333,5:07,H
B763,5:11,H
B739,5:24,M
B739,5:27,M
B739,5:29,M
B738,5:30,M
B738,5:32,M
A319,5:33,M
A320,5:35,M
B763,5:36,H
B738,5:38,M
A321,5:40,M
B738,5:41,M
A321,5:45,M
B752,5:47,H
B763,5:49,H
A306,5:53,H
B763,5:59,H
E190,6:06,M
B739,6:09,M
B77W,6:10,H
B738,6:13,M
B763,6:15,H
A321,6:16,M
B752,6:19,H
B752,6:21,H
B738,6:24,M
E190,6:26,M
A321,6:28,M
E190,6:28,M
E190,6:30,M
B752,6:32,H
B788,6:32,H
CRJ9,6:35,M
A321,6:36,M
E190,6:37,M
B772,6:40,H
E190,6:40,M
B739,6:43,M
B712,6:44,M
B739,6:46,M
A321,6:48,M
CRJ9,6:49,M
A321,6:50,M
B739,6:52,M
A320,6:53,M
CRJ9,6:55,M
B739,6:56,M
CRJ2,6:58,M
A321,6:58,M
CRJ2,7:01,M
CRJ9,7:03,M
A320,7:04,M
A321,7:06,M
B752,7:09,H
B752,7:10,H
A332,7:11,H
B763,7:13,H
CRJ9,7:15,M
A321,7:16,M
CRJ9,7:17,M
B738,7:19,M
A321,7:21,M
B788,7:24,H
CRJ9,7:28,M
A321,7:29,M
E135,7:31,M
A320,7:33,M
B739,7:38,M
A321,7:40,M
A320,7:44,M
A320,7:47,M
A320,7:49,M
CRJ9,7:55,M
A320,7:57,M
CRJ9,7:59,M
E190,8:01,M
B764,8:03,H
A320,8:06,M
B752,8:10,H
B739,8:12,M
A321,8:16,M
E190,8:18,M
A321,8:19,M
A320,8:21,M
CRJ9,8:23,M
A320,8:24,M
A320,8:26,M
B77W,8:27,H
E75L,8:30,M
A320,8:31,M
E170,8:31,M
E190,8:33,M
A320,8:33,M
CRJ2,8:34,M
A321,8:36,M
A321,8:40,M
CRJ9,8:41,M
A333,8:43,H
CRJ9,8:45,M
CRJ9,8:47,M
CRJ9,8:49,M
A321,8:50,M
A35K,8:52,H
CRJ2,8:56,M
A321,8:58,M
A332,9:00,H
CRJ2,9:05,M
A321,9:07,M
A320,9:09,M
B789,9:10,H
B738,9:14,M
A320,9:15,M
B350,9:17,H
A321,9:18,M
E135,9:20,M
A320,9:21,M
B739,9:23,M
E190,9:30,M
E135,9:32,M
B738,9:37,M
E190,9:38,M
A321,9:40,M
A321,9:47,M
A320,9:49,M
B77W,9:50,H
CRJ2,9:53,M
CRJ9,9:55,M
A320,9:58,M
A321,10:00,M
A320,10:02,M
A321,10:04,M
A321,10:06,M
B752,10:09,H
